id,method_id,feature,display_name,display_order,display_values,computed,compute_rule,display_help,groups,created_by,updated_by,created_at,updated_at,deleted_at,display_interval
469,11,Inferior Vertebral Ring,Inferior Vertebral Ring,2,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
470,12,Superior Vertebral Ring,Superior Vertebral Ring,1,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
471,12,Inferior Vertebral Ring,Inferior Vertebral Ring,2,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
472,13,Superior Vertebral Ring,Superior Vertebral Ring,1,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
473,13,Inferior Vertebral Ring,Inferior Vertebral Ring,2,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
474,14,Superior Vertebral Ring,Superior Vertebral Ring,1,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
475,14,Inferior Vertebral Ring,Inferior Vertebral Ring,2,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
476,15,Superior Vertebral Ring,Superior Vertebral Ring,1,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
477,15,Inferior Vertebral Ring,Inferior Vertebral Ring,2,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
478,16,Superior Vertebral Ring,Superior Vertebral Ring,1,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
479,16,Inferior Vertebral Ring,Inferior Vertebral Ring,2,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
498,17,Superior Vertebral Ring,Superior Vertebral Ring,1,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
499,17,Inferior Vertebral Ring,Inferior Vertebral Ring,2,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
500,18,Superior Vertebral Ring,Superior Vertebral Ring,1,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
501,18,Inferior Vertebral Ring,Inferior Vertebral Ring,2,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
480,19,Superior Vertebral Ring,Superior Vertebral Ring,1,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
481,19,Inferior Vertebral Ring,Inferior Vertebral Ring,2,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
482,20,Superior Vertebral Ring,Superior Vertebral Ring,1,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
483,20,Inferior Vertebral Ring,Inferior Vertebral Ring,2,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
484,21,Superior Vertebral Ring,Superior Vertebral Ring,1,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
485,21,Inferior Vertebral Ring,Inferior Vertebral Ring,2,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
486,22,Superior Vertebral Ring,Superior Vertebral Ring,1,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
487,22,Inferior Vertebral Ring,Inferior Vertebral Ring,2,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
488,23,Superior Vertebral Ring,Superior Vertebral Ring,1,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
489,23,Inferior Vertebral Ring,Inferior Vertebral Ring,2,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
490,24,Superior Vertebral Ring,Superior Vertebral Ring,1,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
491,24,Inferior Vertebral Ring,Inferior Vertebral Ring,2,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
492,25,Superior Vertebral Ring,Superior Vertebral Ring,1,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
493,25,Inferior Vertebral Ring,Inferior Vertebral Ring,2,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
494,26,Superior Vertebral Ring,Superior Vertebral Ring,1,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
495,26,Inferior Vertebral Ring,Inferior Vertebral Ring,2,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
496,27,Superior Vertebral Ring,Superior Vertebral Ring,1,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
497,27,Inferior Vertebral Ring,Inferior Vertebral Ring,2,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
7,28,Pubic Symphysis,Pubic Symphysis,1,"{""5"":""5"", ""6"":""6"", ""7"":""7""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
75,29,Tooth 1,Tooth 1,1,"{""D"":""D - Crown complete"", ""E"":""E - Root length < crown"", ""F"":""F - Funnel-shaped root ends"", ""G"":""G - Root apices open"", ""H"":""H - Root apices closed""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
76,29,Tooth 16,Tooth 16,2,"{""D"":""D - Crown complete"", ""E"":""E - Root length < crown"", ""F"":""F - Funnel-shaped root ends"", ""G"":""G - Root apices open"", ""H"":""H - Root apices closed""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
71,30,Tooth 17,Tooth 17,1,"{""D"":""D - Crown complete"", ""E"":""E - Root length < crown"", ""F"":""F - Funnel-shaped root ends"", ""G"":""G - Root apices open"", ""H"":""H - Root apices closed""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
72,30,Tooth 32,Tooth 32,2,"{""D"":""D - Crown complete"", ""E"":""E - Root length < crown"", ""F"":""F - Funnel-shaped root ends"", ""G"":""G - Root apices open"", ""H"":""H - Root apices closed""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
73,31,Tooth 1,Tooth 1,1,"{""D"":""D - Crown complete"", ""E"":""E - Root length < crown"", ""F"":""F - Funnel-shaped root ends"", ""G"":""G - Root apices open"", ""H"":""H - Root apices closed""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
74,31,Tooth 16,Tooth 16,2,"{""D"":""D - Crown complete"", ""E"":""E - Root length < crown"", ""F"":""F - Funnel-shaped root ends"", ""G"":""G - Root apices open"", ""H"":""H - Root apices closed""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
6,32,Public Symphysis,Public Symphysis,1,"{""1"":""1"", ""2"":""2"", ""3"":""3"", ""4"":""4"", ""5"":""5"", ""6"":""6""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
10,33,Transverse Organization,Transverse Organization,1,"{""1"":""1"", ""2"":""2"", ""3"":""3"", ""4"":""4"", ""5"":""5""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
11,33,Surface Texture,Surface Texture,2,"{""1"":""1"", ""2"":""2"", ""3"":""3"", ""4"":""4"", ""5"":""5""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
12,33,Microporosity,Microporosity,3,"{""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
13,33,Macroporosity,Macroporosity,4,"{""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
14,33,Apical Changes,Apical Changes,5,"{""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
15,33,SUMALL,Composite Score - SUMALL,6,"{""5"":""5"", ""6"":""6"", ""7"":""7"", ""8"":""8"", ""9"":""9"", ""10"":""10"", ""11"":""11"", ""12"":""12"", ""13"":""13"", ""14"":""14"", ""15"":""15"", ""16"":""16"", ""17"":""17"", ""18"":""18"", ""19"":""19""}",true,"Transverse Organization,Surface Texture,Microporosity,Macroporosity,Apical Changes",,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
578,34,Mastoid Process,Mastoid Process,1,"{""1"":""1"", ""2"":""2"", ""3"":""3"", ""4"":""4"", ""5"":""5""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
579,34,Nuchal Crest,Nuchal Crest,2,"{""1"":""1"", ""2"":""2"", ""3"":""3"", ""4"":""4"", ""5"":""5""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
580,34,Supraorbital margin,Supraorbital margin,3,"{""1"":""1"", ""2"":""2"", ""3"":""3"", ""4"":""4"", ""5"":""5""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
581,34,Glabella,Glabella,4,"{""1"":""1"", ""2"":""2"", ""3"":""3"", ""4"":""4"", ""5"":""5""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
582,35,Mental Eminence,Mental Eminence,1,"{""1"":""1"", ""2"":""2"", ""3"":""3"", ""4"":""4"", ""5"":""5""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
583,36,Greater sciatic notch,Greater sciatic notch,1,"{""1"":""1"", ""2"":""2"", ""3"":""3"", ""4"":""4"", ""5"":""5""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
584,36,Preauricular sulcus,Preauricular sulcus,2,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3"", ""4"":""4""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
549,37,UI1DS,UI1DS,1,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3"", ""4"":""4"", ""5"":""5"", ""6"":""6""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
550,37,UI2SS,UI2SS,2,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3"", ""4"":""4"", ""5"":""5"", ""6"":""6""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
551,37,UI2DS,UI2DS,3,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3"", ""4"":""4"", ""5"":""5"", ""6"":""6""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
552,37,UCSS,UCSS,4,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3"", ""4"":""4"", ""5"":""5"", ""6"":""6""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
553,37,UCDR,UCDR,5,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3"", ""4"":""4"", ""5"":""5""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
554,37,UCTD,UCTD,6,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3"", ""4"":""4"", ""5"":""5"", ""6"":""6""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
555,37,UM1HC,UM1HC,7,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3"", ""4"":""4"", ""5"":""5""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
556,37,UM1MC,UM1MC,8,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3"", ""4"":""4"", ""5"":""5""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
557,37,UM2MC,UM2MC,9,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3"", ""4"":""4"", ""5"":""5""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
558,37,UM2C5,UM2C5,10,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3"", ""4"":""4"", ""5"":""5""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
559,38,LI1SS,LI1SS,1,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
560,38,LI2SS,LI2SS,2,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
561,38,LCDR,LCDR,3,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3"", ""4"":""4"", ""5"":""5""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
562,38,LP3LC,LP3LC,4,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3"", ""4"":""4"", ""5"":""5"", ""6"":""6"", ""7"":""7"", ""8"":""8"", ""9"":""9""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
563,38,LM1AF,LM1AF,5,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3"", ""4"":""4""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
564,38,LM1DW,LM1DW,6,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
565,38,LM1PS,LM1PS,7,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3"", ""4"":""4"", ""5"":""5"", ""6"":""6"", ""7"":""7""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
566,38,LM1C7,LM1C7,8,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3"", ""4"":""4""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
567,38,LM2C5,LM2C5,9,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3"", ""4"":""4"", ""5"":""5""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
568,38,LM2C7,LM2C7,10,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3"", ""4"":""4""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
1,39,Surface Topography,Surface Topography,1,"{""1"":""1"", ""2"":""2"", ""3"":""3"", ""4"":""4"", ""5"":""5"", ""6"":""6""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
2,39,Porosity,Porosity,2,"{""1"":""1"", ""2"":""2"", ""3"":""3"", ""4"":""4"", ""5"":""5"", ""6"":""6""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
3,39,Osteophyte Formation,Osteophyte Formation,3,"{""1"":""1"", ""2"":""2"", ""3"":""3"", ""4"":""4""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
4,39,SUMALL,Composite Score - SUMALL,4,"{""3"":""3"", ""4"":""4"", ""5"":""5"", ""6"":""6"", ""7"":""7"", ""8"":""8"", ""9"":""9"", ""10"":""10"", ""11"":""11"", ""12"":""12"", ""13"":""13"", ""14"":""14"", ""15"":""15"", ""16"":""16""}",true,"Surface Topography,Porosity,Osteophyte Formation",,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
511,40,Cranial form,Cranial form,1,"{""broad"":""broad"", ""medium"":""medium"", ""long"":""long""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
512,40,Nose form,Nose form,2,"{""narrow"":""narrow"", ""medium"":""medium"", ""broad"":""broad""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
513,40,Facial prognathism,Facial prognathism,3,"{""reduced"":""reduced"", ""moderate"":""moderate"", ""extreme"":""extreme""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
514,40,Malar form,Malar form,4,"{""reduced"":""reduced"", ""projecting"":""projecting""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
515,40,Palatal form,Palatal form,5,"{""parabolic"":""parabolic"", ""elliptical"":""elliptical"", ""hyperbolic"":""hyperbolic""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
516,40,Orbital form,Orbital form,6,"{""round"":""round"", ""rhomboid"":""rhomboid""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
517,40,Mastoid form,Mastoid form,7,"{""wide"":""wide"", ""narrow"":""narrow"", ""oblique with posterior tubercle"":""oblique with posterior tubercle""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
518,41,Post-bregmatic depression,Post-bregmatic depression,1,"{""0"":""0"", ""1"":""1""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
519,41,Anterior nasal spine,Anterior nasal spine,2,"{""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
520,41,Inferior nasal aperture,Inferior nasal aperture,3,"{""1"":""1"", ""2"":""2"", ""3"":""3"", ""4"":""4"", ""5"":""5""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
521,41,Interorbital breadth,Interorbital breadth,4,"{""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
522,41,Malar tubercle,Malar tubercle,5,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
523,41,Nasal aperture width,Nasal aperture width,6,"{""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
524,41,Nasal bone contour,Nasal bone contour,7,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3"", ""4"":""4""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
525,41,Nasal overgrowth,Nasal overgrowth,8,"{""0"":""0"", ""1"":""1""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
526,41,Supranasal suture,Supranasal suture,9,"{""0"":""0"", ""1"":""1"", ""2"":""2""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
527,41,Transverse palatine suture,Transverse palatine suture,10,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
528,41,Zygomaticomaxillary suture,Zygomaticomaxillary suture,11,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
529,42,Anterior nasal spine,Anterior nasal spine (ANS) OSSA Score,1,"{""0"":""0"", ""1"":""1""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
530,42,Inferior nasal aperture,Inferior nasal aperture (INA) OSSA Score,2,"{""0"":""0"", ""1"":""1""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
531,42,Interorbital breadth,Interorbital breadth (IB) OSSA Score,3,"{""0"":""0"", ""1"":""1""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
532,42,Nasal aperture width,Nasal aperture width (NAW) OSSA Score,4,"{""0"":""0"", ""1"":""1""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
533,42,Nasal bone contour,Nasal bone contour (NBC) OSSA Score,5,"{""0"":""0"", ""1"":""1""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
534,42,Post-bregmatic depression,Post-bregmatic depression (PBD) OSSA Score,6,"{""0"":""0"", ""1"":""1""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
535,42,SUMALL,Composite Score - SUMALL,7,"{""0"":""0"", ""1"":""1"", ""2"":""2"", ""3"":""3"", ""4"":""4"", ""5"":""5"", ""6"":""6""}",true,"Anterior nasal spine,Inferior nasal aperture,Interorbital breadth,Nasal aperture width,Nasal bone contour,Post-bregmatic depression",,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
18,43,Sternal end,Sternal end,1,"{""1"":""1"", ""2"":""2"", ""3"":""3"", ""4"":""4"", ""5"":""5"", ""6"":""6"", ""7"":""7"", ""8"":""8""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
19,44,Sternal end,Sternal end,1,"{""1"":""1"", ""2"":""2"", ""3"":""3"", ""4"":""4"", ""5"":""5"", ""6"":""6"", ""7"":""7"", ""8"":""8""}",false,,,,System,System,2018-04-29 18:35:25,2019-12-27 05:09:04,,
