id,sb_id,name,display_name,display_order,description,display_help,comment,instrument,min_value,max_value,step_value,min_threshold,max_threshold,stature,sex,created_by,updated_by,created_at,updated_at,deleted_at,help_url
183,5,Cer2_01,Cer2_01 Maximum Length of the Left Superior Articular Facet,1,"Take the maximum length of the facet as it appears in any direction (Byrd and Adams 2015, #81B).",Take the maximum length of the facet as it appears in any direction.,"",sliding caliper,1,99,0.01,10,40,false,false,System,System,2018-04-29 18:35:14,2019-12-27 05:09:02,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/measurements/#vertebrae
184,5,Cer2_02,Cer2_02 Maximum Length of the Right Superior Articular Facet,2,"Take the maximum length of the facet as it appears in any direction (Byrd and Adams 2015, #81B).",Take the maximum length of the facet as it appears in any direction.,"",sliding caliper,1,99,0.01,10,40,false,false,System,System,2018-04-29 18:35:14,2019-12-27 05:09:02,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/measurements/#vertebrae
39,12,Cla_01,Cla_01 Maximum Length,1,Maximum distance between the most extreme ends of the clavicle.,"Maximum distance between the most extreme ends of the clavicle (Martin and Knussmann 1988:197, #1; Moore-Jansen et al. 1994, #35; Langley et al. 2016:73, #38).","Place the bone on the osteometric board and place the sternal end of the clavicle against the vertical end board. Press the movable upright against the acromial end and move the bone up, down and sideways until the maximum length is obtained.",osteometric board.,50,300,0.01,115,187,false,false,System,System,2018-04-29 18:35:14,2019-12-27 05:09:02,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/measurements/#clavicle
40,12,Cla_02,Cla_02 Maximum Diameter of the Clavicle at Midshaft,2,The maximum diameter of the bone measured at midshaft.,"The maximum diameter of the bone measured at midshaft (Langley et al. 2016:73, #39).",Determine the midpoint of the diaphysis on the osteometric board and mark it with a pencil. Place the bone between the two arms of the caliper and rotate the bone until the maximum diameter is obtained.,sliding caliper,1,99,0.01,10,16,false,false,System,System,2018-04-29 18:35:14,2019-12-27 05:09:02,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/measurements/#clavicle
41,12,Cla_03,Cla_03 Minimum Diameter of the Clavicle at Midshaft,3,The minimum diameter of the bone measured at midshaft.,"The minimum diameter of the bone measured at midshaft (Langley et al. 2016:74, #40).",Determine the midpoint of the diaphysis on the osteometric board and mark it with a pencil. Place the bone between the two arms of the caliper and rotate the bone until the minimum diameter is obtained.,sliding caliper,1,99,0.01,7,13,false,false,System,System,2018-04-29 18:35:14,2019-12-27 05:09:02,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/measurements/#clavicle
42,12,Cla_04,Cla_04 Sagittal (Anterior-Posterior) Diameter at Midshaft,4,Distance from the anterior to the posterior surface at midshaft.,"Distance from the anterior to the posterior surface at midshaft (Martin 1957:528, #5; Moore-Jansen et al. 1994, #36).",Determine the midpoint of the diaphysis on the osteometric board and mark it with a pencil. Then determine sagittal diameter.,sliding caliper.,1,99,0.01,6,18,false,false,System,System,2018-04-29 18:35:14,2019-12-27 05:09:02,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/measurements/#clavicle
43,12,Cla_05,Cla_05 Vertical (Superior-Inferior) Diameter at Midshaft,5,"Distance from the superior to the inferior surface at midshaft (Martin 1957:528, #1; Moore-Jansen et al. 1994, #37).",Distance from the superior to the inferior surface at midshaft.,Taken perpendicular to sagittal diameter.,sliding caliper.,1,99,0.01,4,16,false,false,System,System,2018-04-29 18:35:14,2019-12-27 05:09:02,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/measurements/#clavicle
44,12,Cla_06,Cla_06 Maximum Width at the Distal End,6,"The maximum width of the distal end of the clavicle where the calipers are in contact with the rough attachment area, taken perpendicular to the shaft. Avoid angling the calipers (Byrd and Adams 2015, #37A).","The maximum width of the distal end of the clavicle where the calipers are in contact with the rough attachment area, taken perpendicular to the shaft. Avoid angling the calipers.","",sliding caliper,1,99,0.01,13,37,false,false,System,System,2018-04-29 18:35:14,2019-12-27 05:09:02,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/measurements/#clavicle
45,12,Cla_07,Cla_07 Breadth at the Inflexion Point at the Distal End,7,Anchor the caliper in the concave curve of the inflexion point at the distal end of the clavicle and place the other jaw of the caliper on the opposite side usually on or near the tubercle.,"Anchor the caliper in the concave curve of the inflexion point at the distal end of the clavicle and place the other jaw of the caliper on the opposite side usually on or near the tubercle (Byrd and Adams 2015, #37B).","",sliding caliper,1,99,0.01,10,28,false,false,System,System,2018-04-29 18:35:14,2019-12-27 05:09:02,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/measurements/#clavicle
46,12,Cla_08,Cla_08 Maximum thickness at the Inflexion Point at the Distal End,8,The maximum thickness in the same vertical plane as the previous measurement (take perpendicular to 37B).,"The maximum thickness in the same vertical plane as the previous measurement (take perpendicular to 37B) (Byrd and Adams 2015, #37C).","",sliding caliper.,1,99,0.01,6,18,false,false,System,System,2018-04-29 18:35:14,2019-12-27 05:09:02,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/measurements/#clavicle
47,12,Cla_09,Cla_09 Maximum Anterior-Posterior Width at the Proximal End,9,The maximum anterior-posterior width of the proximal end (be sure to hold in anatomical position).,"The maximum anterior-posterior width of the proximal end (be sure to hold in anatomical position) (Byrd and Adams 2015, #37D).","",sliding caliper,1,99,0.01,10,40,false,false,System,System,2018-04-29 18:35:14,2019-12-27 05:09:02,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/measurements/#clavicle
1,18,Cra_01,Cra_01 Maximum Cranial Length (g-op),1,"Distance between glabella (g) and opisthocranion (op) in the midsagittal plane, measured in a straight line .","Distance between glabella (g) and opisthocranion (op) in the midsagittal plane, measured in a straight line (Howells 1973: 170; Martin and Knussmann 1988:168 #1; Moore-Jansen et al. 1994, #1; Langley et al. 2016:65, #1).","Set the skull on its base. Place one caliper point in the glabellar region in the midline and hold with fingers while the other caliper point is applied to the posterior portion of the skull in the midsagittal plane and moved up and down until the maximum length is obtained. On finding this, move the left point up and down slightly to make sure the reading is maximum.",spreading caliper.,50,300,0.01,153,207,false,false,System,System,2018-04-29 18:35:14,2019-12-27 05:09:02,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/measurements/#cranium
2,18,Cra_02,Cra_02 Nasio-occipital Length (NOL),2,"Maximum length in the mid-sagittal plane, measured from nasion (n).","Maximum length in the mid-sagittal plane, measured from nasion (n) (Howells 1973:171; Langley et al. 2016:65, #2).","With the skull in position as for glabello-occipital length (Maximum Cranial Length), place the one caliper point at nasion and move the other point along the occiput in the midline for the maximum reading.",spreading caliper.,50,300,0.01,154,202,false,false,System,System,2018-04-29 18:35:14,2019-12-27 05:09:02,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/measurements/#cranium
3,18,Cra_03,Cra_03 Maximum Cranial Breadth (eu-eu),3,"Maximum width of skull perpendicular to midsagittal plane wherever it is located, with the exception of the inferior temporal lines and the area immediately surrounding them.","Maximum width of skull perpendicular to midsagittal plane wherever it is located, with the exception of the inferior temporal lines and the area immediately surrounding them (Howells 1973:172; Hrdlicka 1920:14; Martin and Knussmann 1988:170, #8; Moore-Jansen et al. 1994, #2; Langley et al. 2016:65, #3)."," Maximum Cranial Breadth is measured with the skull resting either on its base or on the occiput. The two measuring points (eurya) should lie in the same horizontal and frontal planes. Place the arms of the caliper at the same level while maintaining the hinge joint of the caliper in the mid-sagittal plane. Hold the ends of the caliper in each hand and apply to the lateral portions of the skull, making circular motions. Make sure you include areas below the squamosal suture, where the maximum is sometimes found.",spreading caliper.,50,250,0.01,117,159,false,false,System,System,2018-04-29 18:35:14,2019-12-27 05:09:02,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/measurements/#cranium
4,18,Cra_04,Cra_04 Bizygomatic Breadth (zy-zy),4,Direct distance between most lateral points on the zygomatic arches.,"Direct distance between most lateral points on the zygomatic arches (Howells 1973:173; Moore-Jansen et al. 1994, #3; Langley et al. 2016:66, #4).","Place the skull on its occiput, base toward observer, and apply the blunt points of the caliper to the zygomatic arches and locate the maximum breadth perpendicular to the mid-sagittal plane.",sliding or spreading calipers.,50,250,0.01,109,151,false,false,System,System,2018-04-29 18:35:14,2019-12-27 05:09:02,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/measurements/#cranium
5,18,Cra_05,Cra_05 Basion-Bregma Height (ba-b),5,"Direct distance from the lowest point on the anterior margin of foramen magnum (ba), to bregma (b).","Direct distance from the lowest point on the anterior margin of foramen magnum (ba), to bregma (b)  (Howells 1973:172; Moore-Jansen et al. 1994, #4; Langley et al. 2016:66, #5).",Place the skull on its occiput with the right side facing the observer. Apply the endpoint of one of the arms of the caliper at basion and support with fingers. Then apply the endpoint of the second arm of the caliper to bregma.,spreading caliper.,50,250,0.01,113,155,false,false,System,System,2018-04-29 18:35:14,2019-12-27 05:09:02,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/measurements/#cranium
6,18,Cra_06,Cra_06 Cranial Base Length (ba-n),6,Direct distance from nasion (n) to basion (ba).,"Direct distance from nasion (n) to basion (ba) (Howells 1973:171-172, Martin and Knussmann 1988:169, #5; Moore-Jansen et al. 1994, #5; Langley et al. 2016:66, #6).",Rest the skull on the cranial vault and apply the endpoint of the one arm of caliper to nasion (n) while applying the other to basion (ba).,spreading calipers.,10,250,0.01,82,118,false,false,System,System,2018-04-29 18:35:14,2019-12-27 05:09:02,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/measurements/#cranium
7,18,Cra_07,Cra_07 Basion-Prosthion Length (ba-pr),7,Direct distance from basion (ba) to prosthion (pr).,"Direct distance from basion (ba) to prosthion (pr) (Howells 1973:174; Moore-Jansen et al. 1994, #6; Langley et al. 2016:66, #7).",Apply the fixed point of the sliding caliper or one tip of the spreading caliper to prosthion (pr). Then bring the movable point of the sliding caliper or the other tip of the spreading caliper to basion (ba).,spreading or sliding calipers.,10,250,0.01,79,115,false,false,System,System,2018-04-29 18:35:14,2019-12-27 05:09:02,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/measurements/#cranium
8,18,Cra_08,Cra_08 Maxillo-Alveolar Breadth (ecm-ecm),8,Maximum breadth across the alveolar borders of the maxilla measured on the lateral surfaces at the location of the second maxillary molars (ecm).,"Maximum breadth across the alveolar borders of the maxilla measured on the lateral surfaces at the location of the second maxillary molars (ecm) (Howells 1973:176; Martin and Knussmann 1988:182 #61; Moore-Jansen et al. 1994, #7; Langley et al. 2016:66, #8).",The points of measurement (ecm) are not found on the alveolar processes when reactive alveolar bone is present; in these cases ecm is located on the bony segment superior to the second maxillary molars. Apply both arms of the caliper to the alveolar borders above the tooth row from an anterior position.,spreading caliper.,10,150,0.01,48,78,false,false,System,System,2018-04-29 18:35:14,2019-12-27 05:09:02,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/measurements/#cranium
9,18,Cra_09,Cra_09 Maxillo-Alveolar Length (pr-alv),9,Direct distance from prosthion (pr) to alveolon (alv).,"Direct distance from prosthion (pr) to alveolon (alv) (Martin and Knussmann 1988:182 #60; Moore-Jansen et al. 1994, #8; Langley et al. 2016:66, #9)."," Place the skull so the base faces up. Apply a thin wire, rubber band, or other similar implement to the posterior borders of the alveolar arch and measure the distance from prosthion (pr) to the middle of the wire/band in the mid-sagittal plane (alv).",spreading or sliding caliper.,10,150,0.01,42,66,false,false,System,System,2018-04-29 18:35:14,2019-12-27 05:09:02,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/measurements/#cranium
10,18,Cra_10,Cra_10 Biauricular Breadth (au-au),10,"Least exterior breadth across the roots of the zygomatic processes (au), wherever found.","Least exterior breadth across the roots of the zygomatic processes (au), wherever found (Howells 1973:173; Martin and Knussmann 1988:170, #11b; Moore-Jansen et al. 1994, #9; Langley et al. 2016:66, #10).","With the skull resting on the occiput and with the base toward the observer measure to the outside of the roots of the zygomatic processes at their deepest incurvature, generally slightly anterior to the external auditory meatus, with the sharp points of the caliper.",sliding caliper.,50,300,0.01,100,142,false,false,System,System,2018-04-29 18:35:14,2019-12-27 05:09:02,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/measurements/#cranium
11,18,Cra_11,Cra_11 Nasion-Prosthion Height (n-pr),11,Direct distance from nasion (n) to prosthion (pr).,"Direct distance from nasion (n) to prosthion (pr) (Howells 1973:174; Moore-Jansen et al. 1994, #10; Langley et al. 2016:66-67, #11).","Place the fixed point of the caliper on nasion and apply the movable point to prosthion. If the alveolar process exhibits slight resorption or erosion at the point of prosthion, the projection of the process may be estimated when the alveolar process of the lateral incisors is still intact. When resorption or erosion is more pronounced this measurement should not be taken.",sliding caliper.,10,150,0.01,52,82,false,false,System,System,2018-04-29 18:35:14,2019-12-27 05:09:02,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/measurements/#cranium
12,18,Cra_12,Cra_12 Minimum Frontal Breadth (ft-ft),12,Direct distance between the two frontotemporale (ft).,Direct distance between the two frontotemporale (ft).,"Place the skull on its base. The two endpoints of the caliper are placed on the temporal ridges at the two frontotemporale (Hrdlicka 1920: 15; Martin and Knussmann 1988:170, #9; Moore-Jansen et al. 1994, #11; Langley et al. 2016:67, #12). When taking this measurement make certain that the least distance between both temporal lines on the frontal bone is recorded.",sliding caliper.,10,300,0.01,80,110,false,false,System,System,2018-04-29 18:35:14,2019-12-27 05:09:02,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/measurements/#cranium
13,18,Cra_13,Cra_13 Upper Facial Breadth (fmt-fmt),13,Direct distance between the two external points on the frontomalar suture (fmt).,"Direct distance between the two external points on the frontomalar suture (fmt) (Martin and Knussmann 1988:179, #43; Moore-Jansen et al. 1994, #12; Langley et al. 2016:67, #13).",The measurement is taken between the two external points on the frontomalar suture.,sliding caliper.,10,300,0.01,89,119,false,false,System,System,2018-04-29 18:35:14,2019-12-27 05:09:02,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/measurements/#cranium
14,18,Cra_14,Cra_14 Nasal Height (n-ns),14,Direct distance from nasion (n) to the midpoint of a line connecting the lowest points of the inferior margin of the nasal notches (ns).,"Direct distance from nasion (n) to the midpoint of a line connecting the lowest points of the inferior margin of the nasal notches (ns) (Howells 1973:175; Moore-Jansen et al. 1994, #13; Langley et al. 2016:67, #14).","Place the skull on its occiput, base to the right, and measure the distance from nasion to the inferior border of the nasal aperture on each side and take the average of these two measurements to the nearest whole millimeter. The lower border of the aperture is well defined in most populations. It is not always the most anterior edge, but the beginning of the actual floor of the nasal cavity. It is the hinder border, not the forward border, of any prenasal gutter or fossa.",sliding caliper.,10,150,0.01,39,63,false,false,System,System,2018-04-29 18:35:14,2019-12-27 05:09:02,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/measurements/#cranium
15,18,Cra_15,Cra_15 Nasal Breadth (al-al),15,Maximum breadth of the nasal aperture (al-al).,"Maximum breadth of the nasal aperture (al-al) (Howells 1973: 176; Martin and Knussmann 1988:181 #54; Moore-Jansen et al. 1994, #14; Langley et al. 2016:68, #15).",Carefully place the points of the instrument on the sharp lateral margins of the nasal aperture at its most lateral curvature; this is not an inside measurement. The measurement is perpendicular to the mid-sagittal plane and recorded to the nearest millimeter.,sliding caliper.,1,99,0.01,19,31,false,false,System,System,2018-04-29 18:35:14,2019-12-27 05:09:02,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/measurements/#cranium
185,18,Cra_16L,Cra_16L Left Orbital Breadth (d-ec),16,Laterally sloping distance from dacryon (d) to ectoconchion (ec).,"Laterally sloping distance from dacryon (d) to ectoconchion (ec) (Howells 1973: 175; Martin and Knussmann l988:181, #51a; Moore-Jansen et al. 1994, #15; Langley et al. 2016:68, #16).",The inside jaws of the calipers are useful for this measurement. For standardization and practical reasons measure the left orbit. Measure the right orbit if the left orbit is damaged and record the side measured on the recording sheet.,sliding caliper.,10,99,0.01,34,46,false,false,System,System,2018-12-08 16:50:26,2019-12-27 05:09:02,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/measurements/#cranium
186,18,Cra_16R,Cra_16R Right Orbital Breadth (d-ec),17,Laterally sloping distance from dacryon (d) to ectoconchion (ec).,"Laterally sloping distance from dacryon (d) to ectoconchion (ec) (Howells 1973: 175; Martin and Knussmann l988:181, #51a; Moore-Jansen et al. 1994, #15; Langley et al. 2016:68, #16).",The inside jaws of the calipers are useful for this measurement. For standardization and practical reasons measure the left orbit. Measure the right orbit if the left orbit is damaged and record the side measured on the recording sheet.,sliding caliper.,10,99,0.01,34,46,false,false,System,System,2018-12-08 16:50:26,2019-12-27 05:09:02,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/measurements/#cranium
187,18,Cra_17L,Cra_17L Left Orbital Height,18,Direct distance between the superior and inferior margins taken perpendicular to the orbital breadth.,"Direct distance between the superior and inferior margins taken perpendicular to the orbital breadth (Howells 1973: 175; Martin and Knussmann 1988:181, #52; Moore-Jansen et al. 1994, #16; Langley et al. 2016:68, #17)."," Orbital height is measured perpendicular to orbital breadth. Any notches or depressions on either superior or inferior borders should be avoided; if there is deep notching, move the caliper medially slightly. The inside jaws of the calipers are useful for this measurement.",sliding caliper.,10,99,0.01,28,40,false,false,System,System,2018-12-08 16:50:26,2019-12-27 05:09:02,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/measurements/#cranium
188,18,Cra_17R,Cra_17R Right Orbital Height,19,Direct distance between the superior and inferior margins taken perpendicular to the orbital breadth.,"Direct distance between the superior and inferior margins taken perpendicular to the orbital breadth (Howells 1973: 175; Martin and Knussmann 1988:181, #52; Moore-Jansen et al. 1994, #16; Langley et al. 2016:68, #17)."," Orbital height is measured perpendicular to orbital breadth. Any notches or depressions on either superior or inferior borders should be avoided; if there is deep notching, move the caliper medially slightly. The inside jaws of the calipers are useful for this measurement.",sliding caliper.,10,99,0.01,28,40,false,false,System,System,2018-12-08 16:50:26,2019-12-27 05:09:02,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/measurements/#cranium
18,18,Cra_18,Cra_18 Biorbital Breadth (ec-ec),20,Direct distance between right and left ectoconchion (ec).,"Direct distance between right and left ectoconchion (ec) (Howells 1973:178; Moore-Jansen et al. 1994, #17; Langley et al. 2016:68, #18).","",sliding caliper.,10,200,0.01,85,109,false,false,System,System,2018-04-29 18:35:14,2019-12-27 05:09:02,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/measurements/#cranium
19,18,Cra_19,Cra_19 Interorbital Breadth (d-d),21,Direct distance between right and left dacryon (d).,"Direct distance between right and left dacryon (d) (Howells 1973:178; Moore-Jansen et al. 1994, #18; Langley et al. 2016:69, #19).","",sliding caliper.,1,99,0.01,13,31,false,false,System,System,2018-04-29 18:35:14,2019-12-27 05:09:02,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/measurements/#cranium
20,18,Cra_20,Cra_20 Frontal Chord (n-b),22,Direct distance from nasion (n) to bregma (b) taken in the midsagittal plane.,"Direct distance from nasion (n) to bregma (b) taken in the midsagittal plane (Howells 1973:181; Martin and Knussmann 1988:174, #29; Moore-Jansen et al. 1994, #19; Langley et al. 2016:69, #20).",Place the tips of the instrument on the bone surface or at the level of the bone surface and not in a suture or other depression.,sliding caliper.,10,300,0.01,92,128,false,false,System,System,2018-04-29 18:35:14,2019-12-27 05:09:02,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/measurements/#cranium
21,18,Cra_21,Cra_21 Parietal Chord (b-l),23,Direct distance from bregma (b) to lambda (l) taken in the midsagittal plane.,"Direct distance from bregma (b) to lambda (l) taken in the midsagittal plane (Howells 1973:182; Martin and Knussmann 1988:175, #30; Moore-Jansen et al. 1994, #20; Langley et al. 2016:69, #21).",Place the tips of the instrument on the bone surface or at the level of the bone surface and not in a suture or other depression.,sliding caliper.,10,200,0.01,92,134,false,false,System,System,2018-04-29 18:35:14,2019-12-27 05:09:02,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/measurements/#cranium
22,18,Cra_22,Cra_22 Occipital Chord (l-o),24,Direct distance from lambda (l) to opsithion (o) taken in the midsagittal plane.,"Direct distance from lambda (l) to opsithion (o) taken in the midsagittal plane (Howells 1973:182; Martin and Knussmann 1988:175, #31; Moore-Jansen et al. 1994, #21; Langley et al. 2016:69, #22).","",sliding caliper.,10,200,0.01,79,115,false,false,System,System,2018-04-29 18:35:14,2019-12-27 05:09:02,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/measurements/#cranium
23,18,Cra_23,Cra_23 Foramen Magnum Length (ba-o),25,Direct distance from basion (ba) to opisthion (o).,"Direct distance from basion (ba) to opisthion (o) (Martin and Knussmann 1988:169 #7; Moore-Jansen et al. 1994, #22; Langley et al. 2016:69, #23).","Measure with the skull base up, using the inside jaws of the calipers.",sliding caliper.,10,99,0.01,27,45,false,false,System,System,2018-04-29 18:35:14,2019-12-27 05:09:02,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/measurements/#cranium
24,18,Cra_24,Cra_24 Foramen Magnum Breadth ,26,Distance between the lateral margins of foramen magnum at the points of greatest lateral curvature.,"Distance between the lateral margins of foramen magnum at the points of greatest lateral curvature (Martin and Knussmann 1988:171, #16; Moore-Jansen et al. 1994, #23; Langley et al. 2016:69, #24).",Measure with the skull base up using the inside jaws of the calipers.,sliding caliper.,10,99,0.01,22,40,false,false,System,System,2018-04-29 18:35:14,2019-12-27 05:09:02,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/measurements/#cranium
189,18,Cra_25L,Cra_25L Left Mastoid Length,27,Vertical projection of the mastoid process below and perpendicular to the eye-car (Frankfort) plane.,"Vertical projection of the mastoid process below and perpendicular to the eye-car (Frankfort) plane (Moore-Jansen et al. 1994, #24; Langley et al. 2016:69-70, #25).","Note that both right and left sides are measured. Place the fixed arm of the caliper on porion and move the movable arm until it touches mastoidale. This may be most easily accomplished by holding the calipers in a coronal plane. Howells (1973:176) and Martin and Knussmann (1988:172, #19a) define this measurement similarly, though their measurement technique differs from that described here. When only one value is needed, average the right and left measurements. If the discrepancy between the sides is more than 2mm repeat as a check. ",sliding caliper.,1,99,0.01,16,40,false,false,System,System,2018-12-08 16:50:26,2019-12-27 05:09:02,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/measurements/#cranium
