id,sb_id,name,display_name,display_order,description,created_by,updated_by,created_at,updated_at,deleted_at,display_help,help_url
15,4,4,4 - Spinous process,4,Spinous process,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cervical-vertebrae
16,5,1,1 - Body,1,Body,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cervical-vertebrae
17,5,2,2 - Right transverse process,2,"Right transverse process, pedicle, pars interarticularis, and articular facets",System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cervical-vertebrae
18,5,3,3 - Left transverse process,3,"Left transverse process, pedicle, pars interarticularis, and articular facets",System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cervical-vertebrae
19,5,4,4 - Spinous process,4,Spinous process,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cervical-vertebrae
20,6,1,1 - Body,1,Body,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cervical-vertebrae
21,6,2,2 - Right transverse process,2,"Right transverse process, pedicle, pars interarticularis, and articular facets",System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cervical-vertebrae
22,6,3,3 - Left transverse process,3,"Left transverse process, pedicle, pars interarticularis, and articular facets",System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cervical-vertebrae
23,6,4,4 - Spinous process,4,Spinous process,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cervical-vertebrae
24,7,1,1 - Spinous process,1,Spinous process,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cervical-vertebrae
25,7,2,2 - Right transverse process,2,"Right transverse process, pedicle, pars interarticularis, and articular facets",System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cervical-vertebrae
26,7,3,3 - Left transverse process,3,"Left transverse process, pedicle, pars interarticularis, and articular facets",System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cervical-vertebrae
27,7,4,4 - Spinous process,4,Spinous process,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cervical-vertebrae
28,8,1,1 - Body,1,Body,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cervical-vertebrae
29,8,2,2 - Right transverse process,2,"Right transverse process, pedicle, pars interarticularis, and articular facets",System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cervical-vertebrae
30,8,3,3 - Left transverse process,3,"Left transverse process, pedicle, pars interarticularis, and articular facets",System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cervical-vertebrae
31,8,4,4 - Spinous process,4,Spinous process,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cervical-vertebrae
32,9,1,1 - Body,1,Body,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cervical-vertebrae
33,9,2,2 - Right transverse process,2,"Right transverse process, pedicle, pars interarticularis, and articular facets",System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cervical-vertebrae
34,9,3,3 - Left transverse process,3,"Left transverse process, pedicle, pars interarticularis, and articular facets",System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cervical-vertebrae
35,9,4,4 - Spinous process,4,Spinous process,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cervical-vertebrae
474,10,1,1 - Body,1,Body,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cervical-vertebrae
475,10,2,2 - Right transverse process,2,"Right transverse process, pedicle, pars interarticularis, and articular facets",System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cervical-vertebrae
476,10,3,3 - Left transverse process,3,"Left transverse process, pedicle, pars interarticularis, and articular facets",System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cervical-vertebrae
477,10,4,4 - Spinous process,4,Spinous process,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cervical-vertebrae
36,11,1,1 - Body,1,Body,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cervical-vertebrae
37,11,2,2 - Right transverse process,2,"Right transverse process, pedicle, pars interarticularis, and articular facets",System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cervical-vertebrae
38,11,3,3 - Left transverse process,3,"Left transverse process, pedicle, pars interarticularis, and articular facets",System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cervical-vertebrae
39,11,4,4 - Spinous process,4,Spinous process,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cervical-vertebrae
40,12,1,1 - Sternal end,1,Sternal end including the area of the attachment for the costo-clavicular ligament,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#clavicle
41,12,2,2 - Acromial end,2,"Acromial end, including the conoid tubercle and trapezoid line",System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#clavicle
42,12,3,3 - Diaphysis,3,Diaphysis,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#clavicle
43,13,1,1 - Identifiable as coccygeal vertebra,1,Identifiable as coccygeal vertebra,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#sacrum
44,14,1,1 - Identifiable as coccygeal vertebra,2,Identifiable as coccygeal vertebra,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#sacrum
45,15,1,1 - Identifiable as coccygeal vertebra,3,Identifiable as coccygeal vertebra,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#sacrum
46,16,1,1 - Identifiable as coccygeal vertebra,4,Identifiable as coccygeal vertebra,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#sacrum
47,17,1,1 - Identifiable as coccyx,1,Identifiable as coccyx,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#sacrum
48,18,1,1 - Right frontal,1,Right frontal (split sagittally through the metopic suture),System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cranium
49,18,2,2 - Left frontal,2,Left frontal (split sagittally through the metopic suture),System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cranium
50,18,3,3 - Right parietal,3,Right parietal,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cranium
51,18,4,4 - Left parietal,4,Left parietal,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cranium
52,18,5,5 - Occipital,5,Occipital,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cranium
53,18,6,6 - Left temporal,6,Left temporal including the root of the zygomatic process,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cranium
54,18,7,7 - Right temporal,7,Right temporal including the root of the zygomatic process,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cranium
55,18,8,8 - Left sphenoid,8,Left sphenoid,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cranium
56,18,9,9 - Right sphenoid,9,Right sphenoid,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cranium
57,18,10,10 - Left zygoma,10,Left zygoma,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cranium
58,18,11,11 - Right zygoma,11,Right zygoma,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cranium
59,18,12,12 - Left maxilla,12,Left maxilla,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cranium
60,18,13,13 - Right maxilla,13,Right maxilla,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cranium
61,18,14,14 - Left nasal bone,14,Left nasal bone,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cranium
62,18,15,15 - Right nasal bone,15,Right nasal bone,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cranium
510,18,16,16 - Left lacrimal bone,16,Left lacrimal bone,System,System,2019-10-20 02:17:59,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cranium
511,18,17,17 - Right lacrimal bone,17,Right lacrimal bone,System,System,2019-10-20 02:17:59,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cranium
512,18,18,18 - Left palatine bone,18,Left palatine bone,System,System,2019-10-20 02:17:59,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cranium
513,18,19,19 - Right palatine bone,19,Right palatine bone,System,System,2019-10-20 02:17:59,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cranium
514,18,20,20 - Ethmoid,20,Ethmoid,System,System,2019-10-20 02:17:59,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cranium
515,18,21,21 - Vomer,21,Vomer,System,System,2019-10-20 02:17:59,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cranium
516,18,22,22 - Left inferior nasal concha (not depicted),22,Left inferior nasal concha (not depicted),System,System,2019-10-20 02:17:59,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cranium
517,18,23,23 - Right inferior nasal concha (not depicted),23,Right inferior nasal concha (not depicted),System,System,2019-10-20 02:17:59,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cranium
63,19,1,1 - All,1,All,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#foot
64,20,1,1 - Identifiable as distal manual phalanx,1,Identifiable as distal manual phalanx,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#hand
65,21,1,1 - Identifiable as distal manual phalanx,1,Identifiable as distal manual phalanx,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#hand
66,22,1,1 - Identifiable as distal manual phalanx,1,Identifiable as distal manual phalanx,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#hand
67,23,1,1 - Identifiable as distal manual phalanx,1,Identifiable as distal manual phalanx,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#hand
68,24,1,1 - Identifiable as distal manual phalanx,1,Identifiable as distal manual phalanx,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#hand
69,25,1,1 - Identifiable as distal pedal phalanx,1,Identifiable as distal pedal phalanx,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#foot
70,26,1,1 - Identifiable as distal pedal phalanx,1,Identifiable as distal pedal phalanx,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#foot
71,27,1,1 - Identifiable as distal pedal phalanx,1,Identifiable as distal pedal phalanx,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#foot
72,28,1,1 - Identifiable as distal pedal phalanx,1,Identifiable as distal pedal phalanx,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#foot
73,29,1,1 - Identifiable as distal pedal phalanx,1,Identifiable as distal pedal phalanx,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#foot
74,30,1,1 - Identifiable as ethmoid,1,Identifiable as ethmoid,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cranium
75,31,1,1 - Identifiable as vertebra,1,Identifiable as vertebra,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#vertebrae
76,32,1,1 - Greater trochanter,1,Greater trochanter,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#femur
77,32,2,2 - Area around the lesser trochanter,2,Area around the lesser trochanter and the lesser trochanter,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#femur
78,32,3,3 - Area of the cranial attachment,3,Area of the cranial attachment of M. gluteus maximus ,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#femur
79,32,4,4 - Caput,4,Caput,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#femur
80,32,5,5 - Neck,5,Neck and area along intertrochanteric line and intertrochanteric crest,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#femur
81,32,6,6 - Middle portion of diaphysis,6,Middle portion of diaphysis from point where the linea aspera birfurcates ,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#femur
82,32,7,7 - Lateral half of the distal third,7,Lateral half of the distal third of the diaphysis split longitudinally in the sagittal plane,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#femur
83,32,8,8 - Medial half of the distal third,8,Medial half of the distal third of the diaphysis split longitudinally  in the sagittal plane,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#femur
84,32,9,9 - Lateral condyle and epicondyle,9,Lateral condyle and epicondyle,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#femur
85,32,10,10 - Medial condyle and epicondyle,10,Medial condyle and epicondyle,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#femur
86,32,11,11 - Intercondylar space and anterior distal articulation,11,Intercondylar space and anterior distal articulation,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#femur
87,33,1,1 - Proximal end,1,Proximal end,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#fibula
88,33,2,2 - Distal end,2,Distal end,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#fibula
89,33,3,3 - Distal-most quarter of diaphysis,3,Distal-most quarter of diaphysis,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#fibula
90,33,4,4 - Middle quarter of diaphysis,4,Middle quarter of diaphysis,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#fibula
91,33,5,5 - Second quarter of diaphysis,5,Second quarter of diaphysis,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#fibula
92,33,6,6 - Proximal-most quarter of diaphysis,6,Proximal-most quarter of diaphysis,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#fibula
93,34,1,1 - All,1,All,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#foot
94,35,1,1 - Right frontal,1,Right frontal (split sagittally through the metopic suture),System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cranium
95,35,2,2 - Left frontal,2,Left frontal (split sagittally through the metopic suture),System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cranium
96,36,1,1 - All,1,All,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#hand
97,37,1,1 - Greater and lesser tubercle,1,Greater and lesser tubercle,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#humerus
98,37,2,2 - Caput,2,Caput,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#humerus
99,37,3,3 - Lateral epicondyle,3,Lateral epicondyle,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#humerus
100,37,4,4 - Medial epicondyle,4,Medial epicondyle,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#humerus
101,37,5,5 - Capitulum,5,Capitulum,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#humerus
102,37,6,6 - Trochlea,6,Trochlea,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#humerus
103,37,7,7 - Distal lateral half of diaphysis,7,Distal lateral half of diaphysis; half of olecranon fossa and radial fossa,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#humerus
104,37,8,8 - Distal medial half of diaphysis,8,Distal medial half of diaphysis; half of olecranon fossa and corocoid fossa,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#humerus
105,37,9,9 - Area surrounding deltoid tuberosity,9,Area surrounding deltoid tuberosity,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#humerus
106,37,10,10 - Area opposite zone 9,10,Area opposite zone 9 that is one half of the diaphysis longitudinally in the sagittal plane cutting the bone transversely medial-lateral,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#humerus
107,37,11,11 - Proximal diaphysis,11,Proximal diaphysis,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#humerus
108,38,1,1 - Hyoid body,1,Hyoid body,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#vertebrae-and-hyoid
109,38,2,2 - Left greater horn,2,Left greater horn,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#vertebrae-and-hyoid
509,38,3,3 - Right greater horn,3,Right greater horn,System,System,2019-01-29 03:51:05,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#vertebrae-and-hyoid
110,39,1,1 - Identifiable as incus,1,Identifiable as incus,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cranium
111,40,1,1 - Identifiable as inferior nasal concha,1,Identifiable as inferior nasal concha,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#cranium
112,41,1,1 - Identifiable as intermediate manual phalanx,1,Identifiable as intermediate manual phalanx,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#hand
113,42,1,1 - Identifiable as intermediate manual phalanx,1,Identifiable as intermediate manual phalanx,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#hand
114,43,1,1 - Identifiable as intermediate manual phalanx,1,Identifiable as intermediate manual phalanx,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#hand
115,44,1,1 - Identifiable as intermediate manual phalanx,1,Identifiable as intermediate manual phalanx,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#hand
116,45,1,1 - Identifiable as intermediate pedal phalanx,1,Identifiable as intermediate pedal phalanx,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#foot
117,46,1,1 - Identifiable as intermediate pedal phalanx,1,Identifiable as intermediate pedal phalanx,System,System,2018-04-29 18:35:16,2019-12-27 05:09:02,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/zones/#foot
